@relation credit-rating-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0

@attribute A1 {b,a}
@attribute A2 numeric
@attribute A3 numeric
@attribute A4 {u,y,l,t}
@attribute A5 {g,p,gg}
@attribute A6 {c,d,cc,i,j,k,m,r,q,w,x,e,aa,ff}
@attribute A7 {v,h,bb,j,n,z,dd,ff,o}
@attribute A8 numeric
@attribute A9 {t,f}
@attribute A10 {t,f}
@attribute A11 numeric
@attribute A12 {t,f}
@attribute A13 {g,p,s}
@attribute A14 numeric
@attribute A15 numeric
@attribute class {+,-}

@data
b,0.96556,0.230169,u,g,c,v,0.038362,t,t,0.115085,f,g,0,0,+
b,0.076861,0.004006,u,g,i,bb,0.001335,t,f,0,f,g,0.997033,0,-
b,0.086417,0.004033,y,p,c,bb,0.000576,t,f,0,t,g,0.377931,0.921783,-
b,0.111434,0.007945,u,g,d,h,0.019565,f,f,0,t,g,0.993547,0,-
b,0.185381,0.00985,u,g,q,v,0.013618,f,f,0,f,g,0.980466,0.063549,-
a,0.069626,0.034937,y,p,x,h,0.002329,t,t,0.012422,f,g,0,0.996881,+
b,0.068417,0.034091,y,p,w,v,0.002449,t,f,0,t,g,0.46921,0.879769,+
b,0.216441,0.005711,y,p,ff,ff,0,f,f,0,f,g,0.976279,0,-
a,0.000928,0.000157,u,g,e,bb,0.000127,t,t,0.000117,f,g,0.007338,0.999973,+
b,0.226096,0.012432,y,p,x,h,0.055253,t,f,0,t,g,0.972457,0,-
a,0.103728,0.006947,u,g,i,h,0.000584,f,f,0,f,g,0.722457,0.683555,-
b,0.017137,0.000013,u,g,x,h,0.000013,t,f,0,f,g,0,0.999853,+
b,0.076905,0.037884,u,g,w,v,0.006888,t,t,0.003444,f,g,0.275521,0.957434,+
b,0.05716,0.006179,u,g,i,v,0.004635,t,t,0.006179,f,g,0.370765,0.926913,+
b,0.724638,0.362319,u,g,aa,v,0.086957,t,f,0,t,s,0.57971,0,+
?,0.314285,0.03214,y,p,?,?,0.001008,f,f,0,f,s,0.948784,0,-
b,0.437426,0.117147,u,g,q,v,0.008786,t,t,0.046859,f,g,0,0.890316,-
b,0.024234,0.005221,u,g,cc,v,0.00251,t,t,0.006426,f,g,0.265069,0.963886,+
b,0.298033,0.006636,u,g,e,v,0.000318,f,f,0,f,g,0.953705,0.039738,-
?,0.098682,0.002206,u,g,w,v,0.000829,f,f,0,t,g,0.995116,0,-
a,0.200001,0.019714,y,p,c,v,0,f,f,0,f,g,0.979597,0,-
b,?,?,y,p,ff,ff,?,f,f,?,f,g,?,?,-
b,0.300242,0.003669,y,p,m,v,0.003669,f,f,0,t,g,0.953849,0,-
b,0.004025,0.000021,y,p,c,h,0.000406,t,t,0.000125,t,g,0.053921,0.998537,+
a,0.256317,0.028165,u,g,i,bb,0.006031,t,t,0.048248,f,s,0.964958,0,+
b,0.076695,0.014628,u,g,aa,v,0.000281,t,f,0,t,g,0.996947,0,-
a,0.145308,0.009275,u,g,w,v,0.00541,f,f,0,t,g,0.989328,0,-
b,0.024621,0.001368,y,p,w,v,0.000342,t,f,0,t,g,0.237094,0.971174,+
b,0.102141,0.004139,u,g,k,v,0.001776,t,f,0,f,s,0.99476,0,-
b,0.166966,0.015378,y,p,c,v,0.020519,f,f,0,t,g,0.984218,0.052726,-
b,0.056614,0.031937,u,g,c,h,0.003381,f,f,0,f,g,0.997057,0.040505,-
b,0.184268,0.015014,u,g,i,bb,0,f,f,0,f,g,0.982761,0,-
a,0.081144,0.008305,u,g,c,v,0.006229,f,f,0,f,g,0.996648,0,-
a,0.004265,0.000149,u,g,x,h,0.000177,t,f,0,t,g,0.027293,0.999618,+
b,0.111351,0.007972,u,g,w,v,0,t,f,0,t,g,0.762111,0.63775,+
a,0.005384,0.0027,u,g,q,h,0.001,t,t,0.0004,f,g,0,0.999981,+
b,0.088303,0.010595,u,g,w,v,0.010595,t,t,0.009082,t,g,0.99594,0,-
b,0.125351,0.012737,y,p,cc,v,0.024675,t,t,0.0047,f,g,0.991713,0,+
a,0.179,0.001419,u,g,ff,ff,0,f,t,0.048934,f,g,0.978675,0.088081,-
b,0.944097,0.042913,u,g,m,v,0.037549,t,t,0.042913,t,g,0,0.321851,+
b,0.129023,0.003223,u,g,c,h,0.000468,t,f,0,f,g,0.991636,0,-
b,0.135248,0.011644,y,p,aa,v,0.021075,t,f,0,f,g,0.990519,0,-
a,0.140285,0.002073,u,g,q,v,0.004641,f,f,0,f,s,0.990098,0,-
a,0.201899,0.029303,u,g,q,v,0.001612,t,t,0.029303,f,g,0.976771,0.058606,+
b,0.077738,0.001607,u,g,k,v,0.000437,f,f,0,t,g,0.978278,0.192162,-
b,0.030233,0.00509,u,g,q,h,0.00509,t,t,0.011105,t,g,0.377562,0.925396,+
b,0.073424,0.002139,u,g,c,bb,0.000713,t,f,0,f,g,0.99514,0.065582,+
b,0.110227,0.001429,u,g,c,v,0.001105,f,f,0,f,g,0.838519,0.533603,-
a,0.060139,0.034719,u,g,c,h,0.017602,t,f,0,f,g,0.997431,0,+
b,0.226931,0.015519,y,p,x,h,0.000304,f,f,0,f,g,0.973757,0.007607,-
b,0.276594,0.01601,y,p,ff,ff,0.008005,f,f,0,f,g,0.960583,0.021346,-
a,0.140155,0.043277,u,g,c,v,0.00102,f,f,0,f,g,0.989183,0,-
b,0.070828,0.003009,u,g,c,h,0.000602,f,t,0.004815,t,g,0.962989,0.260007,-
a,0.128463,0.066056,y,p,x,h,0,f,f,0,t,g,0.968817,0.201313,-
a,0.110367,0.001229,u,g,cc,v,0.001229,f,f,0,f,g,0.983369,0.144227,+
a,0.989642,0.131952,u,g,aa,h,0.056551,f,f,0,f,g,0,0,-
b,0.026022,0.000641,y,p,x,v,0.000047,t,t,0.001187,t,g,0.997204,0.070042,+
b,0.077748,0.00216,u,g,c,h,0.012238,t,t,0.008639,t,g,0.898421,0.431933,+
a,?,?,u,g,q,v,?,t,t,?,f,g,?,?,+
b,0.147307,0.004973,u,g,k,v,0.002131,f,t,0.011366,t,g,0.988864,0.017049,-
a,0.079859,0.001917,y,p,e,dd,0.003834,f,f,0,f,g,0.996797,0,-
a,0.13573,0.051034,y,p,x,v,0.01484,f,f,0,f,g,0.989319,0,+
b,0.112534,0.010113,u,g,c,v,0.0124,t,t,0.005511,f,g,0.551097,0.826645,+
a,0.382614,0.189002,u,g,q,v,0.013092,t,t,0.036878,t,g,0.903523,0,+
b,0.131562,0.014158,u,g,c,bb,0.017697,t,f,0,t,s,0.991049,0,-
a,0.675955,0.030554,u,g,w,h,0.000889,f,t,0.066662,f,g,0,0.733285,-
a,0.013867,0.006821,u,g,c,h,0.000682,t,t,0.002728,f,g,0.034106,0.999295,+
b,0.036056,0.002538,u,g,ff,ff,0,f,f,0,f,g,0,0.999347,-
a,0.134691,0.010837,y,p,j,j,0,f,f,0,f,g,0.990828,0,-
b,0.180059,0.00833,u,g,c,v,0.007423,f,f,0,t,g,0.983593,0,-
a,0.069572,0.002056,u,g,i,v,0.000678,f,t,0.024671,t,g,0.986831,0.143913,-
b,0.043399,0.001558,u,g,w,v,0.000572,f,t,0.001973,f,g,0.828522,0.558266,-
b,0.060995,0.00072,y,p,c,h,0.00072,f,f,0,f,g,0.806731,0.587761,-
b,?,?,u,g,d,bb,?,t,f,?,t,g,?,?,-
a,0.084835,0.021437,u,g,q,v,0.011567,t,t,0.036488,f,g,0.437857,0.893957,+
b,0.081156,0.004438,y,p,e,h,0.000101,t,f,0,t,g,0.996692,0,+
b,0.119495,0.00197,u,g,d,h,0.000335,f,f,0,t,s,0.992833,0,-
b,0.481019,0.16911,u,g,w,v,0.10482,t,t,0.072919,t,g,0.850716,0,+
a,0.057317,0.001933,y,p,q,v,0.003671,t,t,0.004895,t,g,0.19579,0.978948,+
a,0.15217,0.001625,u,g,q,h,0.002243,t,t,0.085098,f,g,0.618891,0.765878,+
a,0.11896,0.00363,y,p,aa,v,0.00363,t,f,0,t,g,0.992886,0,-
b,0.251338,0.123989,u,g,c,v,0.004,t,f,0,f,g,0.959917,0,-
b,0.048909,0.03494,u,g,x,h,0.00226,t,t,0.001391,t,g,0.716179,0.695319,+
a,0.00289,0.000048,u,g,cc,v,0.000004,t,f,0,f,g,0.039336,0.999222,+
a,0.223766,0.028679,u,g,ff,ff,0,f,f,0,f,g,0.974221,0,-
a,0.138722,0.013256,y,p,ff,ff,0,f,f,0,t,g,0.939427,0.313142,-
a,0.182474,0.013034,y,p,c,v,0.001229,f,f,0,f,g,0.983124,0,-
b,?,?,u,g,x,v,?,t,t,?,t,g,?,?,+
a,0.046496,0.009988,u,g,ff,ff,0,t,t,0.007848,t,g,0,0.998838,+
b,0.006572,0.0022,u,g,w,h,0.000494,t,t,0.002369,f,g,0.027071,0.999607,+
b,0.144453,0.082169,u,g,w,h,0.001356,f,t,0.008217,f,g,0.986025,0.008217,-
b,0.927027,0.374977,u,g,aa,v,0.003541,f,f,0,f,g,0,0,-
b,0.134044,0.004955,u,g,i,bb,0,f,f,0,f,s,0.990963,0,-
b,0.20657,0.006272,y,p,w,v,0.001254,f,f,0,f,g,0,0.978411,-
?,0.114222,0.007744,y,p,e,h,0.007744,f,f,0,f,g,0.991212,0.065823,-
a,0.958829,0.219675,u,g,q,v,0.104607,t,t,0.14645,t,g,0,0,+
b,0.006266,0.0039,u,g,c,v,0.0014,t,t,0.0032,f,g,0,0.999967,+
b,0.002176,0.000765,u,g,aa,v,0.000144,t,t,0.000102,f,g,0.008163,0.999964,+
b,0.193574,0.032598,u,g,aa,v,0.007883,f,t,0.011854,f,g,0.948312,0.248932,-
b,0.03805,0.017346,u,g,aa,bb,0.000347,f,f,0,t,g,0.999125,0,-
b,0.137568,0,u,g,d,v,0.003439,f,f,0,f,g,0.990486,0,-
b,0.10559,0.000587,y,p,k,v,0.000587,f,f,0,f,g,0.938582,0.328504,-
a,0.711273,0.389907,u,g,aa,v,0.071825,f,t,0.410429,t,g,0,0.410429,-
b,0.084876,0.041331,u,g,cc,v,0.004001,t,t,0.221532,t,g,0.462902,0.853063,+
a,0.99499,0.040686,u,g,q,v,0.077231,t,t,0.048726,f,g,0,0,+
b,0.170813,0.012967,u,g,c,v,0.003912,f,f,0,t,g,0.985184,0.007244,-
b,0.090826,0.00557,u,g,c,h,0.01316,t,f,0,f,g,0.789267,0.607128,+
a,0.116912,0.004115,u,g,q,v,0.002058,f,t,0.004958,t,g,0.991621,0.054539,-
b,0.976358,0.108916,u,g,e,z,0,f,f,0,f,g,0,0.186714,-
b,?,?,?,?,?,?,?,f,f,?,f,p,?,?,+
b,0.444551,0.216854,y,p,c,v,0.054213,t,f,0,f,s,0.867416,0,+
b,0.238701,0.011117,u,g,ff,ff,0.001408,f,f,0,f,g,0.970919,0.014564,-
b,0.029441,0.003405,y,p,w,v,0.002192,t,f,0,t,g,0.036022,0.998909,+
?,0.027152,0.000564,u,g,aa,v,0.000039,f,f,0,f,g,0.250602,0.967709,-
a,0.104832,0.00445,y,p,ff,ff,0.002139,t,t,0.012837,f,g,0.770191,0.628989,-
a,0.026611,0.001684,u,g,x,v,0.007786,t,t,0.001122,t,g,0.29125,0.956243,+
b,0.095997,0.054206,u,g,c,bb,0.002905,f,t,0.009932,t,g,0.993243,0.034763,-
b,0.082241,0.001597,u,g,c,v,0.004663,t,t,0.015969,t,g,0.996472,0,+
b,0.41291,0.049349,u,g,q,h,0.124842,t,f,0,t,g,0.900824,0,+
b,0.097995,0.014638,u,g,cc,h,0.024916,t,t,0.034883,t,g,0.994155,0,+
b,0.027894,0.013487,u,g,q,v,0.003065,t,t,0.008583,t,g,0.122612,0.991929,+
b,?,?,u,g,x,v,?,t,f,?,f,g,?,?,+
b,0.073019,0.000071,u,g,e,v,0.000071,f,t,0.001781,f,s,0.997329,0,+
a,0.942704,0.260748,u,g,i,bb,0.103597,t,t,0.180518,t,g,0,0,+
b,0.190139,0.070984,u,g,m,v,0.000392,f,t,0.009791,f,g,0.97909,0.009791,-
a,0.087944,0.048556,u,g,q,h,0.00533,f,f,0,f,g,0.994921,0.003553,-
b,0.01874,0.000983,u,g,m,bb,0.000983,t,t,0.004717,t,g,0.16118,0.986735,+
b,0.037463,0.001957,u,g,x,h,0.005032,t,t,0.004473,t,g,0.28293,0.958383,+
a,0.028141,0.000574,u,g,q,h,0.001723,t,f,0,f,g,0.32161,0.946452,+
b,0.07169,0.002338,u,g,m,v,0.001558,f,f,0,t,s,0.997423,0,-
b,0.173913,0.020365,y,p,i,bb,0.042848,t,t,0.035287,t,g,0.982985,0,+
b,0.396791,0.09852,u,g,m,v,0.13136,t,f,0,f,s,0.903103,0,+
b,0.940006,0,u,g,c,bb,0.341159,t,f,0,f,g,0,0,+
a,0.951983,0.259536,u,g,k,h,0.162389,t,f,0,t,g,0,0,+
b,0.012666,0.00657,u,g,c,h,0.002337,t,t,0.004818,f,g,0,0.999884,+
b,0.0276,0.006161,u,g,k,h,0.003943,t,f,0,t,g,0.011829,0.999522,+
a,0.191047,0.073167,u,g,q,v,0.069102,t,t,0.040648,t,g,0.975561,0,+
b,0.330348,0.003808,u,g,ff,ff,0,f,f,0,f,g,0.943852,0,-
a,0.039045,0.011029,u,g,i,h,0.000591,f,f,0,f,g,0.162942,0.985801,-
b,0.016873,0.00004,y,p,m,bb,0.00002,t,t,0.000495,t,g,0.138628,0.990201,+
a,0.009951,0.002121,u,g,c,bb,0.001305,t,t,0.002284,t,g,0,0.999945,+
b,0.346455,0.049796,y,p,i,h,0.071582,t,t,0.024898,t,g,0.933673,0,-
b,0.113783,0.013699,y,p,k,v,0.000776,t,t,0.031029,t,g,0.992926,0,+
b,0.281615,0.14229,u,g,c,v,0.024723,f,f,0,f,s,0.948597,0,-
b,0.116974,0.017972,u,g,w,v,0.000291,f,f,0,t,g,0.99276,0.02054,+
b,0.143758,0.024733,u,g,c,bb,0.001546,t,f,0,t,g,0.989303,0,+
a,0.105408,0.004925,y,p,ff,ff,0,t,f,0,f,g,0.994417,0,-
b,0.694247,0.34454,y,p,c,v,0.350692,t,t,0.492199,f,g,0,0.184575,+
b,0.049187,0.001767,y,p,d,h,0.005302,f,f,0,f,g,0.311064,0.949099,-
a,0.99098,0.07411,y,p,ff,ff,0.087188,f,f,0,t,g,0,0.06975,-
b,0.013651,0.003971,y,p,w,v,0.001737,t,t,0.001986,t,g,0.119133,0.992773,+
b,0.105983,0.001551,u,g,q,v,0.002079,f,t,0.02482,f,g,0.992815,0.049641,-
a,?,?,u,g,ff,ff,?,f,t,?,t,g,?,?,-
b,0.041059,0.007999,u,g,i,bb,0,t,t,0.008799,f,g,0,0.999086,+
a,0.036629,0.018713,u,g,x,h,0.000796,t,t,0.003185,t,g,0.477775,0.877513,+
b,?,?,y,p,i,bb,?,f,f,?,f,g,?,?,-
b,0.171536,0.012312,y,p,w,v,0.014775,f,f,0,f,s,0.98499,0,-
b,0.892339,0.451072,u,g,i,v,0.016278,f,f,0,f,g,0,0,-
b,0.073656,0.010292,u,g,cc,h,0.013937,t,t,0.006923,f,g,0.71764,0.692257,+
b,0.214369,0.106796,u,g,cc,v,0.006456,t,f,0,f,g,0.970875,0,+
b,0.079736,0.012957,u,g,aa,bb,0.006977,t,t,0.001993,f,g,0,0.996705,+
b,?,?,?,?,?,?,?,f,f,?,f,p,?,?,-
b,0.065041,0.000588,u,g,d,v,0.000891,f,f,0,t,s,0.997882,0,-
b,0.137204,0.001548,u,g,i,h,0.015475,t,f,0,t,g,0.990421,0,+
b,0.11796,0.047781,u,g,aa,v,0.011463,t,t,0.081876,f,g,0.350899,0.924033,+
b,0.191953,0.012251,y,p,i,h,0.049005,f,f,0,t,s,0.980103,0,-
a,0.577729,0.072327,u,g,i,bb,0.034328,f,f,0,t,g,0.812293,0,-
b,0.039916,0.002575,u,g,q,v,0.004077,t,t,0.00515,t,g,0,0.999178,+
a,0.1633,0.023792,u,g,q,v,0.000541,t,f,0,t,g,0.986289,0,+
b,0.140986,0.00048,y,p,c,v,0.005755,f,f,0,t,g,0.890034,0.433508,+
b,0.029267,0.005103,u,g,c,h,0.007504,t,t,0.005403,f,g,0.108665,0.993591,+
b,0.27009,0.017367,u,g,c,v,0.012033,f,f,0,f,p,0.962603,0,-
b,0.178691,0.018641,u,g,w,v,0.00573,t,f,0,t,g,0.983712,0,-
a,0.078199,0.018335,y,p,c,h,0.012459,t,f,0,f,g,0.996691,0,+
b,0.039115,0.000529,y,p,aa,v,0.00049,t,t,0.002939,f,g,0.195965,0.979826,+
b,0.051402,0.006347,u,g,i,bb,0.004853,t,t,0.002987,f,g,0.409186,0.910962,+
b,0.133662,0.004893,y,p,cc,v,0.004119,f,f,0,f,g,0.991006,0,-
b,0.163683,0.008927,u,g,i,v,0.001116,f,f,0,t,g,0.986472,0,-
b,0.205621,0.010506,u,g,w,bb,0.001501,t,f,0,t,g,0.978574,0,-
a,0.998068,0.062131,u,g,c,v,0,f,f,0,f,g,0,0,-
b,0.115096,0.003359,u,g,m,v,0.037286,f,t,0.002687,t,g,0.945917,0.300974,-
b,0.224393,0.107742,u,g,x,h,0.004455,t,t,0.009685,f,g,0.968466,0,+
b,0.187013,0.014445,y,p,cc,v,0.01926,t,f,0,t,g,0.962991,0.192598,-
b,?,?,u,g,d,v,?,t,f,?,t,s,?,?,-
a,0.046921,0.000732,u,g,k,v,0.000859,t,t,0.006362,f,g,0.604404,0.795269,+
b,0.969939,0.241115,y,p,d,v,0.032879,t,f,0,f,s,0,0,-
a,0.083586,0.040864,y,p,q,v,0.011145,t,f,0,t,g,0.9956,0,-
b,0.054214,0.026648,u,g,aa,v,0.002196,f,f,0,f,g,0.222417,0.973076,-
a,0.272826,0.043074,u,g,q,v,0.003313,t,t,0.01988,t,g,0.960887,0,+
b,0.071155,0.002204,u,g,m,v,0.002418,t,t,0.007556,t,g,0.997431,0,+
b,0.132002,0.005531,y,p,k,v,0.001106,f,f,0,f,g,0.991233,0,-
b,0.056569,0.001872,u,g,i,v,0.003955,f,t,0.002495,t,g,0.998133,0.022458,-
a,0.640991,0.312612,y,p,k,h,0.081551,f,f,0,t,g,0.543674,0.434939,-
b,0.109915,0.001242,u,g,m,v,0.026703,t,f,0,f,s,0.993581,0,-
b,0.074523,0.008782,y,p,q,h,0.01374,f,t,0.005404,t,g,0.997068,0.002702,-
b,0.368776,0.064212,u,g,m,h,0.041985,t,t,0.118546,t,g,0.91873,0,+
a,0.058749,0.010359,u,g,e,dd,0.004406,t,t,0.009792,t,g,0.193872,0.979152,+
b,0.082618,0.002239,u,g,q,h,0.000493,f,f,0,t,g,0.656886,0.749447,-
b,0.117006,0.008864,y,p,w,v,0.02482,f,f,0,t,g,0.992781,0,-
a,0.619233,0.001916,u,g,ff,ff,0,f,f,0,t,s,0.719903,0.313506,-
b,0.079694,0.000593,u,g,i,bb,0.009493,f,f,0,t,s,0.996774,0,-
b,0.999471,0.011446,u,g,d,h,0.030447,t,f,0,t,g,0,0,+
b,0.099898,0.001244,u,g,q,v,0.000622,f,f,0,f,g,0.994997,0,-
b,0.978875,0.079466,u,g,e,z,0.187828,t,t,0.014448,t,g,0,0,+
a,0.136473,0.003302,u,g,i,bb,0.00743,t,f,0,t,g,0,0.99061,+
b,0.269526,0.042085,y,p,c,v,0.00977,f,f,0,f,g,0.961948,0.012024,-
b,0.14811,0.004238,u,g,d,v,0.010595,f,f,0,t,g,0,0.988905,-
a,0.061334,0.001672,u,g,aa,h,0.004367,t,f,0,f,g,0.998106,0,-
a,0.068286,0.036339,u,g,k,h,0.000265,f,f,0,f,g,0.996882,0.015576,-
b,0.081616,0.004936,y,p,c,h,0.005429,t,t,0.011846,t,g,0.552796,0.829193,-
b,0.046716,0.026414,y,p,aa,v,0.000317,t,f,0,f,g,0.304337,0.951052,-
b,0.07169,0.002338,u,g,m,v,0.001558,t,f,0,t,s,0.997423,0,-
b,0.125324,0.001091,y,p,c,v,0.001091,t,t,0.023273,t,g,0.872727,0.471273,+
b,0.278821,0.026643,u,g,aa,v,0.000261,f,f,0,f,g,0.704391,0.652214,-
b,0.150872,0,u,g,w,v,0.006117,t,t,0.004894,f,g,0.988522,0,+
a,0.288743,0.052499,u,g,k,v,0.052499,f,f,0,t,s,0.954523,0,-
b,0.238621,0.004549,u,g,q,v,0.024262,t,t,0.024262,t,g,0.970496,0,+
b,0.110097,0.000743,y,p,cc,h,0.004481,t,t,0.020483,f,g,0.256039,0.960147,+
b,0.229689,0.015742,u,g,?,?,0.001546,t,f,0,f,g,0,0.973136,-
b,0.074304,0.005305,u,g,cc,v,0.000328,f,f,0,t,g,0,0.997221,-
b,0.106543,0.003773,u,g,i,h,0.000384,f,f,0,t,g,0.994044,0.022592,-
b,0.998494,0.051467,u,g,d,v,0.018996,f,f,0,t,s,0,0,-
a,0.067627,0.006849,y,p,aa,v,0.000674,t,f,0,t,g,0.997687,0,+
a,0.978507,0.033988,u,g,ff,ff,0.11046,f,t,0.016994,f,g,0,0.169939,-
a,0.376537,0.040164,y,p,x,h,0.033558,t,t,0.013212,f,g,0.924828,0,+
b,0.021415,0.002957,y,p,c,v,0.000154,f,f,0,f,g,0.149494,0.988526,-
b,0.089837,0.007323,u,g,cc,h,0.006591,f,f,0,t,s,0.995908,0,-
b,0.227673,0.005982,y,p,c,h,0.041158,t,f,0,t,g,0.870143,0.435071,-
b,0.160155,0.005608,y,p,r,n,0.005608,f,f,0,t,g,0.986947,0.014954,-
b,0.140057,0.009886,u,g,w,v,0.009886,f,f,0,f,g,0.98864,0.052727,+
b,0.018237,0.001494,u,g,e,dd,0.000123,f,t,0.001494,f,g,0.238979,0.970851,-
b,?,?,u,g,c,bb,?,t,f,?,t,s,?,?,-
b,0.999994,0.002474,u,g,c,v,0.002474,f,f,0,f,g,0,0,+
b,0.24886,0.107421,u,g,r,n,0.038493,t,t,0.064453,t,g,0,0.959632,+
b,0.126742,0.006613,y,p,c,v,0.006613,t,f,0,t,g,0,0.991892,-
b,0.008677,0.0043,u,g,w,v,0.000679,t,f,0,f,g,0.054314,0.998477,+
a,0.126075,0.00558,u,g,q,v,0.006398,t,t,0.009919,f,g,0.991935,0,-
b,0.113377,0.005407,u,g,w,h,0.002866,t,t,0.003821,f,g,0.917101,0.382125,+
a,0.005736,0.001562,u,g,q,v,0.001042,t,f,0,t,g,0.001988,0.99998,+
b,0.009585,0.000251,u,g,x,v,0.000404,t,t,0.002421,t,g,0.091705,0.995737,+
b,0.270125,0.010028,u,g,w,v,0.009346,f,f,0,f,g,0.962728,0,-
b,0.387594,0,y,p,ff,ff,0,f,t,0.081599,f,g,0.917985,0.0204,-
b,0.261413,0,y,p,aa,v,0.004022,f,f,0,f,g,0.965219,0,-
b,0.271698,0.018996,y,p,w,v,0.036973,t,t,0.071909,f,g,0.958792,0,+
b,0.129946,0.018564,y,p,d,v,0.006714,t,t,0.049503,t,g,0.990068,0.006188,+
b,0.068509,0.018173,u,g,x,v,0.004487,t,t,0.010769,f,g,0.933319,0.351789,+
a,0.009187,0.001281,u,g,e,v,0.00125,t,f,0,t,g,0,0.999956,+
b,0.090709,0.009719,u,g,w,v,0.00243,f,f,0,t,g,0.971884,0.217054,-
a,0.008226,0.00073,u,g,q,v,0.00083,t,t,0.00199,f,g,0.087554,0.996123,+
a,0.99262,0.074633,y,p,c,v,0.074633,f,f,0,t,g,0,0.059706,-
a,0.049564,0.000787,u,g,q,h,0.002885,t,t,0.001049,f,g,0.34931,0.93569,+
b,0.010141,0.005082,u,g,w,v,0.000024,f,f,0,f,g,0.089721,0.995902,-
b,0.125254,0.004961,u,g,aa,v,0.00248,f,f,0,f,g,0.992109,0,-
b,0.100925,0.008182,u,g,m,v,0.008705,f,f,0,t,s,0.994822,0,-
b,0.033511,0.0179,u,g,e,z,0.016652,t,t,0.009158,f,g,0,0.999097,+
a,0.18424,0.093343,u,g,aa,v,0.000832,t,f,0,f,g,0.978439,0,+
b,0.138784,0.070556,y,p,k,h,0.005891,t,f,0,t,g,0.987788,0,-
a,0.079208,0.00445,y,p,ff,ff,0.01157,f,f,0,f,g,0.996781,0,-
a,?,?,u,g,ff,ff,?,f,f,?,f,g,?,?,-
a,0.297372,0.014916,u,g,ff,ff,0,t,f,0,f,g,0.954645,0,-
b,0.25387,0.014894,u,g,w,v,0.001209,f,f,0,f,g,0.967123,0,-
?,0.071823,0.02638,u,g,k,v,0.005276,t,t,0.003517,f,g,0.562765,0.823044,+
b,0.08834,0.048314,u,g,c,v,0.013289,f,t,0.007969,t,g,0.717236,0.689343,-
b,0.052944,0.001217,u,g,x,v,0.00317,t,f,0,f,g,0.646736,0.760866,+
a,0.222155,0.062911,u,g,j,ff,0,t,t,0.058979,f,g,0,0.97119,+
a,0.181614,0.016386,y,p,aa,v,0.010924,f,f,0,f,g,0.983173,0,-
a,0.155513,0.005419,u,g,i,v,0.000583,f,f,0,f,g,0.987819,0,-
a,0.522976,0.042923,u,g,aa,v,0.034339,t,t,0.034339,f,g,0,0.849879,+
a,0.048801,0.005015,y,p,i,bb,0.009026,f,f,0,f,g,0.401161,0.914648,-
b,0.023168,0.000692,u,g,ff,ff,0,f,t,0.00355,f,g,0.414135,0.909913,-
a,0.998414,0,u,g,c,v,0.056306,t,f,0,f,g,0,0,+
b,0.216688,0.03453,u,g,cc,v,0.034855,t,t,0.008125,t,g,0.974973,0,+
b,0.015796,0.001203,u,g,cc,h,0.001323,t,t,0.002887,f,g,0.076981,0.996902,+
b,0.056725,0.028264,u,g,w,h,0.005223,t,t,0.027035,t,g,0.712751,0.698005,+
a,?,?,y,p,k,v,?,f,t,?,f,g,?,?,-
a,0.005943,0.003667,u,g,x,h,0.000333,t,t,0.003667,f,g,0,0.999969,+
b,0.26074,0.024128,u,g,d,v,0.001327,f,f,0,t,g,0.965107,0,-
b,0.049403,0.006321,u,g,x,h,0.008077,f,f,0,t,s,0.998726,0,+
b,0.060776,0.001386,u,g,c,v,0.000347,f,f,0,f,g,0.99815,0,-
b,0.047723,0.023454,u,g,q,v,0.002469,t,f,0,t,g,0.14813,0.987534,+
b,0.126745,0.003444,y,p,aa,v,0.000689,t,f,0,f,g,0.991914,0.005511,-
a,0.973004,0.230788,y,p,ff,ff,0,f,f,0,f,g,0,0,-
a,0.052372,0.001017,u,g,c,h,0.00178,t,f,0,t,g,0.998626,0,+
b,0.080433,0.010833,y,p,k,v,0.00142,f,t,0.003423,t,g,0.958345,0.273813,-
a,0.037868,0.006344,u,g,c,v,0.006245,t,t,0.004758,t,g,0,0.999232,+
b,0.02041,0.009185,u,g,c,v,0.002041,t,t,0.013879,f,g,0.163282,0.986226,+
b,0.102784,0.006913,u,g,c,v,0.000282,f,f,0,f,g,0.99468,0,-
b,0.004203,0.000104,u,g,w,v,0.000499,t,t,0.000599,t,g,0.049937,0.998743,+
b,0.138004,0.01494,u,g,k,v,0.002134,f,f,0,t,g,0.990317,0,-
b,0.08695,0.008297,y,p,x,v,0.008297,t,t,0.007864,t,g,0.996113,0,+
b,0.12131,0.004363,y,p,c,v,0.000161,f,f,0,f,g,0.683551,0.719738,-
b,0.15002,0.003089,y,p,d,v,0.00241,f,f,0,f,g,0.988598,0.012357,-
b,0.013239,0.001631,u,g,c,v,0.001631,t,t,0.002284,f,g,0,0.999907,+
a,0.124967,0.066814,y,p,ff,ff,0.009898,f,t,0.004949,t,g,0.989834,0.004949,-
a,0.13951,0.005298,u,g,c,v,0.005616,t,t,0.035319,t,g,0.98893,0.035319,-
b,?,?,y,p,d,v,?,f,f,?,t,g,?,?,-
b,0.232072,0.061431,y,p,k,v,0.000758,f,f,0,f,g,0.970757,0,-
b,0.135357,0.01228,u,g,ff,ff,0,f,t,0.021657,f,g,0.762329,0.632387,-
