@relation german_credit-weka.filters.unsupervised.instance.Normalize-N1.0-L2.0-weka.filters.unsupervised.instance.Randomize-S42

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
'no checking',0.01077,'critical/other existing credit',radio/tv,0.999825,'no known savings',>=7,0.001197,'male single',none,0.000598,car,0.015258,none,own,0.000299,skilled,0.000299,yes,yes,good
0<=X<200,0.005835,'existing paid','used car',0.999959,500<=X<1000,<1,0.000729,'female div/dep/mar',none,0.000972,car,0.006807,none,rent,0.000243,skilled,0.000243,none,yes,bad
<0,0.005124,'critical/other existing credit',radio/tv,0.998335,'no known savings',>=7,0.003416,'male single',none,0.003416,'real estate',0.057219,none,own,0.001708,skilled,0.000854,yes,yes,good
0<=X<200,0.012612,'existing paid',furniture/equipment,0.999491,100<=X<500,<1,0.004204,'female div/dep/mar',none,0.004204,car,0.028377,bank,rent,0.004204,skilled,0.001051,none,yes,bad
0<=X<200,0.007054,'critical/other existing credit',business,0.999951,<100,4<=X<7,0.000336,'female div/dep/mar',none,0.000168,'real estate',0.006886,bank,own,0.000336,'unskilled resident',0.000168,none,yes,good
'no checking',0.005235,'critical/other existing credit',business,0.999816,<100,unemployed,0.001745,'male single',none,0.000872,car,0.018321,stores,own,0.000872,'high qualif/self emp/mgmt',0.000436,yes,yes,bad
'no checking',0.005574,'critical/other existing credit','used car',0.999914,'no known savings',unemployed,0.000619,'male single',none,0.001239,'no known property',0.011767,none,own,0.00031,'high qualif/self emp/mgmt',0.00031,yes,yes,good
'no checking',0.002973,'critical/other existing credit','new car',0.999927,'no known savings',>=7,0.000198,'female div/dep/mar',none,0.000793,car,0.011694,none,own,0.000198,skilled,0.000198,yes,yes,good
'no checking',0.003071,'existing paid','used car',0.999983,<100,4<=X<7,0.000384,'male single',none,0.000384,car,0.004863,none,own,0.000128,'high qualif/self emp/mgmt',0.000128,yes,yes,good
'no checking',0.003833,'delayed previously',radio/tv,0.999992,<100,4<=X<7,0.000128,'male single',none,0.000256,car,0.001342,none,own,0.000128,skilled,0.000064,yes,yes,good
'no checking',0.019334,'critical/other existing credit',radio/tv,0.995689,<100,>=7,0.006445,'male single',none,0.006445,'real estate',0.090224,none,own,0.001611,skilled,0.001611,none,yes,good
0<=X<200,0.0122,'existing paid',radio/tv,0.99987,<100,>=7,0.002033,'female div/dep/mar',none,0.002033,car,0.010166,none,own,0.000508,skilled,0.000508,yes,yes,good
'no checking',0.009888,'existing paid','new car',0.999814,<100,1<=X<4,0.001099,'male mar/wid',none,0.001099,'life insurance',0.01648,none,own,0.000549,'high qualif/self emp/mgmt',0.000549,yes,yes,good
<0,0.002792,'critical/other existing credit','new car',0.999944,<100,1<=X<4,0.000254,'male single',none,0.000508,'real estate',0.010154,none,own,0.000508,'unskilled resident',0.000508,none,yes,good
0<=X<200,0.005498,'critical/other existing credit',radio/tv,0.999901,'no known savings',4<=X<7,0.001466,'male single',guarantor,0.000733,'real estate',0.012829,bank,own,0.0011,skilled,0.000367,yes,yes,good
0<=X<200,0.012062,'existing paid',radio/tv,0.999873,'no known savings',4<=X<7,0.001005,'male single',none,0.000251,car,0.010303,none,own,0.000503,skilled,0.000503,yes,yes,good
<0,0.001526,'existing paid',furniture/equipment,0.999976,<100,>=7,0.000509,'male single',none,0.000509,'no known property',0.006739,none,'for free',0.000127,'high qualif/self emp/mgmt',0.000127,yes,yes,bad
'no checking',0.006622,'critical/other existing credit',radio/tv,0.999961,<100,4<=X<7,0.000883,'female div/dep/mar',none,0.000883,car,0.005739,none,rent,0.000221,'high qualif/self emp/mgmt',0.000221,yes,yes,good
<0,0.009573,'critical/other existing credit',radio/tv,0.999806,<100,4<=X<7,0.002127,'male mar/wid',none,0.000532,'life insurance',0.017018,none,own,0.001064,'high qualif/self emp/mgmt',0.000532,yes,yes,good
<0,0.002125,'delayed previously',education,0.999994,'no known savings',1<=X<4,0.000118,'female div/dep/mar',none,0.000236,car,0.002715,none,rent,0.000236,skilled,0.000118,yes,yes,good
0<=X<200,0.012375,'existing paid',radio/tv,0.998212,<100,4<=X<7,0.006187,'male mar/wid',guarantor,0.006187,'real estate',0.057748,bank,own,0.002062,'unskilled resident',0.002062,none,yes,good
>=200,0.003979,'existing paid',radio/tv,0.99996,<100,1<=X<4,0.000995,'male mar/wid',none,0.000332,car,0.007957,none,own,0.000332,skilled,0.000332,none,yes,good
'no checking',0.006486,'critical/other existing credit','new car',0.999916,<100,4<=X<7,0.000721,'male single',none,0.000721,'life insurance',0.01117,bank,own,0.000721,skilled,0.00036,none,yes,bad
0<=X<200,0.00706,'critical/other existing credit','new car',0.999953,<100,unemployed,0.000941,'male mar/wid',none,0.000471,car,0.006589,none,own,0.000471,'high qualif/self emp/mgmt',0.000235,none,yes,bad
<0,0.002824,'critical/other existing credit','used car',0.999989,<100,>=7,0.000282,'male single',none,0.000377,'no known property',0.003577,none,'for free',0.000282,'high qualif/self emp/mgmt',0.000188,yes,yes,good
'no checking',0.01169,'existing paid','new car',0.999862,'no known savings',1<=X<4,0.001299,'male single',none,0.001299,'real estate',0.01169,none,own,0.000325,skilled,0.000325,none,yes,good
<0,0.015108,'critical/other existing credit',repairs,0.998808,<100,unemployed,0.001679,'female div/dep/mar',none,0.003357,'no known property',0.046163,none,'for free',0.002518,'unemp/unskilled non res',0.001679,none,yes,bad
<0,0.005835,'existing paid',furniture/equipment,0.999956,<100,4<=X<7,0.000278,'female div/dep/mar',none,0.001111,car,0.007224,none,rent,0.000278,'unskilled resident',0.000278,none,yes,good
0<=X<200,0.011983,'delayed previously',business,0.999792,100<=X<500,>=7,0.001598,'male single',none,0.000799,'life insurance',0.016377,stores,own,0.000799,skilled,0.000399,none,yes,good
'no checking',0.009454,'delayed previously','new car',0.999781,<100,>=7,0.001576,'male single',none,0.001576,car,0.018514,none,own,0.000788,'unskilled resident',0.000788,none,yes,bad
'no checking',0.019207,'existing paid','new car',0.999557,<100,<1,0.003201,'male mar/wid',none,0.001601,'real estate',0.022408,none,own,0.0008,skilled,0.0008,none,yes,good
0<=X<200,0.004433,'existing paid',furniture/equipment,0.999919,'no known savings',4<=X<7,0.000985,'male single',none,0.000493,car,0.011822,none,own,0.000493,skilled,0.000493,yes,yes,good
'no checking',0.004479,'existing paid','domestic appliance',0.998913,500<=X<1000,1<=X<4,0.000747,'male div/sep',none,0.002986,'real estate',0.046287,none,own,0.000747,skilled,0.000747,none,yes,good
'no checking',0.016402,'critical/other existing credit','new car',0.98957,100<=X<500,1<=X<4,0.010934,'female div/dep/mar',none,0.010934,car,0.142148,none,own,0.005467,'unskilled resident',0.002734,none,yes,good
'no checking',0.016059,'existing paid',radio/tv,0.999384,'no known savings',>=7,0.002141,'male single',none,0.002141,car,0.031047,none,own,0.000535,skilled,0.000535,yes,yes,good
0<=X<200,0.003977,'existing paid',furniture/equipment,0.999928,<100,<1,0.000994,'female div/dep/mar',none,0.000331,'real estate',0.011269,none,rent,0.000331,'high qualif/self emp/mgmt',0.000331,none,yes,good
'no checking',0.012947,'critical/other existing credit','new car',0.999071,<100,unemployed,0.001079,'female div/dep/mar',none,0.002158,'life insurance',0.040999,none,own,0.001079,'unemp/unskilled non res',0.001079,none,yes,good
<0,0.003648,'existing paid','used car',0.999983,<100,unemployed,0.000608,'male single',none,0.000304,'no known property',0.004408,none,'for free',0.000152,'high qualif/self emp/mgmt',0.000152,yes,yes,good
0<=X<200,0.002441,'critical/other existing credit',furniture/equipment,0.999982,<100,unemployed,0.000542,'male single',none,0.000542,'life insurance',0.005424,stores,own,0.000271,'high qualif/self emp/mgmt',0.000136,yes,yes,good
<0,0.007621,'existing paid',furniture/equipment,0.999946,<100,<1,0.00127,'male single',none,0.000318,'no known property',0.006986,bank,'for free',0.000318,skilled,0.000318,none,yes,good
<0,0.010144,'critical/other existing credit',furniture/equipment,0.999497,<100,>=7,0.002705,'male single',none,0.002705,car,0.029755,none,own,0.001352,skilled,0.001352,yes,yes,good
'no checking',0.015732,'existing paid','new car',0.999621,>=1000,4<=X<7,0.002622,'female div/dep/mar',none,0.001966,car,0.022287,none,own,0.000655,skilled,0.001311,yes,yes,good
'no checking',0.005788,'existing paid',radio/tv,0.999889,100<=X<500,1<=X<4,0.001929,'female div/dep/mar','co applicant',0.000965,'real estate',0.013506,none,own,0.000482,skilled,0.000482,none,yes,good
0<=X<200,0.002898,'existing paid',radio/tv,0.999895,<100,1<=X<4,0.001242,'male single',guarantor,0.000828,'real estate',0.014077,none,own,0.000414,skilled,0.000414,none,yes,good
'no checking',0.004135,'critical/other existing credit','used car',0.99998,>=1000,1<=X<4,0.000689,'male single',none,0.000345,'real estate',0.004652,none,own,0.000345,skilled,0.000172,none,yes,good
'no checking',0.006303,'critical/other existing credit','used car',0.999958,>=1000,>=7,0.0007,'male single',none,0.00035,car,0.006654,none,own,0.00035,'high qualif/self emp/mgmt',0.000175,yes,yes,good
'no checking',0.007758,'delayed previously',radio/tv,0.999861,<100,unemployed,0.000862,'male mar/wid',none,0.001293,'real estate',0.014653,none,own,0.000862,skilled,0.000431,none,yes,good
'no checking',0.003337,'existing paid',radio/tv,0.999923,<100,1<=X<4,0.000371,'male single',none,0.000742,'real estate',0.011864,none,own,0.000371,skilled,0.000742,none,yes,good
0<=X<200,0.003387,'no credits/all paid',business,0.999988,<100,<1,0.000188,'male single',none,0.000251,'no known property',0.003637,none,rent,0.000063,skilled,0.000063,yes,yes,bad
<0,0.007903,'existing paid',radio/tv,0.999937,<100,1<=X<4,0.000878,'male single',none,0.000585,car,0.007903,none,own,0.000293,'high qualif/self emp/mgmt',0.000293,none,yes,good
'no checking',0.004366,'critical/other existing credit',education,0.999773,<100,>=7,0.000728,'female div/dep/mar',none,0.001455,'no known property',0.020738,bank,'for free',0.001091,'unskilled resident',0.000364,none,yes,good
<0,0.004653,'existing paid','new car',0.999906,<100,<1,0.001551,'male single',none,0.000388,'real estate',0.012794,none,own,0.000388,'unskilled resident',0.000775,none,yes,bad
'no checking',0.007729,'existing paid',radio/tv,0.999936,'no known savings',<1,0.001288,'male single',none,0.000644,car,0.008051,none,own,0.000644,skilled,0.000322,none,yes,good
'no checking',0.007323,'existing paid','new car',0.998868,<100,1<=X<4,0.001465,'female div/dep/mar',none,0.002929,car,0.046868,none,own,0.000732,skilled,0.000732,yes,yes,good
0<=X<200,0.015097,'existing paid',repairs,0.999789,<100,<1,0.001677,'male single',none,0.000419,'no known property',0.013839,none,rent,0.000419,'unskilled resident',0.000419,none,yes,bad
<0,0.010271,'existing paid','new car',0.99967,<100,1<=X<4,0.003424,'male mar/wid',none,0.002568,'real estate',0.023109,none,own,0.000856,'unskilled resident',0.000856,none,yes,good
'no checking',0.00955,'critical/other existing credit','new car',0.998764,<100,>=7,0.003183,'male single',none,0.003183,'real estate',0.048545,none,own,0.001592,'unskilled resident',0.000796,none,yes,good
'no checking',0.017443,'delayed previously','new car',0.999262,<100,1<=X<4,0.004984,'male single',none,0.002492,car,0.033641,none,own,0.002492,'unskilled resident',0.001246,none,yes,good
<0,0.011762,'existing paid','domestic appliance',0.999747,'no known savings',1<=X<4,0.003136,'female div/dep/mar',none,0.001568,car,0.018819,none,rent,0.000784,skilled,0.000784,none,yes,bad
'no checking',0.00952,'critical/other existing credit',radio/tv,0.998721,100<=X<500,unemployed,0.003462,'female div/dep/mar',none,0.003462,'real estate',0.04933,none,own,0.002596,'unskilled resident',0.000865,none,yes,good
<0,0.010321,'all paid','new car',0.999851,100<=X<500,4<=X<7,0.00086,'male single',none,0.00129,car,0.013761,bank,own,0.00043,skilled,0.00043,none,yes,good
'no checking',0.00919,'critical/other existing credit',radio/tv,0.9998,<100,>=7,0.001532,'male mar/wid','co applicant',0.001149,'real estate',0.017614,none,own,0.000766,skilled,0.000383,none,yes,good
0<=X<200,0.002901,'delayed previously',repairs,0.99997,<100,1<=X<4,0.000322,'male single',none,0.000645,'real estate',0.007092,none,own,0.000161,'unskilled resident',0.000322,yes,yes,good
'no checking',0.015135,'critical/other existing credit',furniture/equipment,0.999561,<100,4<=X<7,0.002523,'male single',none,0.001892,'life insurance',0.025226,none,own,0.001261,skilled,0.000631,none,yes,good
0<=X<200,0.009833,'critical/other existing credit','used car',0.999934,100<=X<500,unemployed,0.000656,'male single',none,0.000874,car,0.0059,none,own,0.000219,skilled,0.000219,none,yes,good
<0,0.012467,'existing paid',furniture/equipment,0.999874,<100,4<=X<7,0.001662,'female div/dep/mar',none,0.001662,'real estate',0.009558,none,rent,0.000416,skilled,0.000416,none,yes,bad
<0,0.007684,'existing paid','new car',0.999932,<100,<1,0.001281,'female div/dep/mar',none,0.00032,'life insurance',0.008645,none,own,0.00032,skilled,0.00032,none,yes,bad
<0,0.016868,'existing paid',radio/tv,0.996609,<100,>=7,0.005623,'male single',none,0.005623,'real estate',0.080122,stores,own,0.001406,'unskilled resident',0.001406,none,yes,bad
'no checking',0.00688,'existing paid','used car',0.999953,100<=X<500,4<=X<7,0.00086,'female div/dep/mar',none,0.001147,car,0.006594,none,own,0.000287,skilled,0.000287,none,yes,good
<0,0.001559,'existing paid','new car',0.999986,<100,>=7,0.000111,'male div/sep',none,0.000446,'life insurance',0.005012,none,own,0.000111,'high qualif/self emp/mgmt',0.000111,yes,no,bad
'no checking',0.011026,'critical/other existing credit',radio/tv,0.999673,<100,1<=X<4,0.00294,'male single',none,0.00147,'life insurance',0.022787,none,own,0.00147,skilled,0.000735,none,yes,good
0<=X<200,0.005915,'existing paid',furniture/equipment,0.999926,<100,4<=X<7,0.000739,'male div/sep',none,0.000739,car,0.010598,none,own,0.000246,skilled,0.000246,yes,yes,bad
'no checking',0.005624,'existing paid','new car',0.999683,'no known savings',>=7,0.001875,'female div/dep/mar',none,0.001875,'no known property',0.024371,none,'for free',0.000469,'high qualif/self emp/mgmt',0.000469,yes,yes,good
0<=X<200,0.008425,'critical/other existing credit','domestic appliance',0.999791,<100,4<=X<7,0.002808,'male single',none,0.002106,'life insurance',0.018255,none,own,0.000702,skilled,0.000702,none,yes,good
<0,0.007581,'critical/other existing credit','used car',0.999944,<100,>=7,0.000632,'male single',none,0.000632,'no known property',0.007265,none,'for free',0.000316,skilled,0.000158,yes,yes,bad
<0,0.007944,'existing paid',furniture/equipment,0.999936,<100,1<=X<4,0.000662,'male div/sep',none,0.000662,'real estate',0.007944,none,rent,0.000331,'unskilled resident',0.000331,none,yes,good
<0,0.006553,'existing paid','used car',0.999949,<100,>=7,0.000364,'male single',none,0.000728,'no known property',0.007646,none,'for free',0.000182,skilled,0.000364,none,yes,good
'no checking',0.010817,'existing paid',radio/tv,0.99952,'no known savings',1<=X<4,0.002885,'male mar/wid',none,0.001442,'real estate',0.028846,none,rent,0.000721,skilled,0.000721,yes,yes,good
'no checking',0.00328,'existing paid',furniture/equipment,0.999992,<100,unemployed,0.000364,'female div/dep/mar',none,0.000182,car,0.002369,none,own,0.000182,'high qualif/self emp/mgmt',0.000091,yes,yes,bad
0<=X<200,0.002076,'existing paid','used car',0.999996,<100,1<=X<4,0.000087,'female div/dep/mar',none,0.000346,car,0.00199,none,rent,0.000173,'high qualif/self emp/mgmt',0.000087,none,yes,bad
'no checking',0.009655,'critical/other existing credit',education,0.99982,100<=X<500,1<=X<4,0.002146,'female div/dep/mar',none,0.001073,'real estate',0.016092,none,own,0.001073,skilled,0.000536,none,yes,bad
0<=X<200,0.003841,'critical/other existing credit','new car',0.999869,<100,<1,0.00032,'male single',none,0.00096,'real estate',0.015683,bank,own,0.00064,'unskilled resident',0.00064,none,yes,good
<0,0.004928,'delayed previously','new car',0.999928,<100,1<=X<4,0.000616,'male single',none,0.000821,'no known property',0.010882,none,'for free',0.000411,skilled,0.000411,none,yes,bad
<0,0.017176,'all paid','new car',0.997657,<100,<1,0.005725,'male single',none,0.002863,car,0.065842,bank,own,0.002863,skilled,0.001431,yes,yes,bad
'no checking',0.011148,'existing paid',business,0.999642,<100,1<=X<4,0.001858,'male mar/wid',none,0.001858,'real estate',0.024155,none,own,0.000929,skilled,0.000929,yes,no,good
>=200,0.00533,'existing paid',furniture/equipment,0.999776,<100,1<=X<4,0.000444,'female div/dep/mar',none,0.000888,car,0.020431,none,own,0.000444,'unskilled resident',0.000444,none,yes,good
'no checking',0.006911,'existing paid',furniture/equipment,0.999812,<100,4<=X<7,0.001728,'female div/dep/mar',none,0.002304,'real estate',0.017854,none,own,0.000576,'unskilled resident',0.000576,none,yes,good
'no checking',0.010793,'critical/other existing credit',radio/tv,0.999665,100<=X<500,>=7,0.001799,'male single',none,0.001799,'life insurance',0.023384,bank,own,0.000899,skilled,0.00045,none,yes,good
>=200,0.006378,'existing paid',radio/tv,0.999705,<100,1<=X<4,0.001063,'female div/dep/mar',none,0.001063,car,0.023385,none,rent,0.000531,'unskilled resident',0.000531,yes,yes,good
'no checking',0.005539,'existing paid',furniture/equipment,0.999934,<100,<1,0.000739,'male single',none,0.001108,'life insurance',0.00997,bank,own,0.000739,'unskilled resident',0.000369,none,yes,good
'no checking',0.00331,'delayed previously','new car',0.999986,<100,>=7,0.000184,'male single',none,0.000184,car,0.004138,none,own,0.000184,skilled,0.000184,yes,yes,good
<0,0.009359,'existing paid',furniture/equipment,0.999828,<100,1<=X<4,0.00156,'female div/dep/mar',none,0.00312,car,0.015598,none,rent,0.00078,skilled,0.00078,none,yes,bad
<0,0.007813,'critical/other existing credit','used car',0.999924,<100,>=7,0.000651,'female div/dep/mar',none,0.000651,'no known property',0.009441,stores,'for free',0.000326,'unskilled resident',0.000163,none,yes,bad
0<=X<200,0.004059,'all paid',other,0.999983,100<=X<500,>=7,0.000203,'female div/dep/mar',none,0.000271,'no known property',0.004059,bank,'for free',0.000135,'high qualif/self emp/mgmt',0.000068,yes,yes,bad
<0,0.00801,'existing paid',furniture/equipment,0.999944,'no known savings',1<=X<4,0.000668,'male mar/wid',none,0.001335,car,0.006675,none,own,0.000334,skilled,0.000334,none,yes,bad
>=200,0.00534,'delayed previously','new car',0.999856,<100,1<=X<4,0.00089,'female div/dep/mar',none,0.00089,car,0.016019,stores,own,0.00089,skilled,0.000445,yes,yes,good
0<=X<200,0.009541,'existing paid',education,0.999932,<100,1<=X<4,0.000636,'male single',none,0.000636,'no known property',0.006679,none,'for free',0.000159,skilled,0.000159,none,yes,bad
<0,0.015635,'existing paid',radio/tv,0.999784,<100,1<=X<4,0.001737,'male div/sep',none,0.001737,car,0.013464,none,rent,0.000434,skilled,0.000434,none,yes,bad
'no checking',0.011957,'existing paid',radio/tv,0.999698,<100,1<=X<4,0.002657,'male single',none,0.001329,'no known property',0.021256,none,'for free',0.000664,'high qualif/self emp/mgmt',0.000664,yes,yes,good
'no checking',0.009229,'existing paid',business,0.999803,<100,4<=X<7,0.002051,'male single',none,0.000513,car,0.017432,stores,own,0.001025,skilled,0.000513,yes,yes,good
'no checking',0.003761,'delayed previously',business,0.999989,<100,<1,0.000104,'male div/sep',none,0.000104,car,0.002925,none,own,0.000209,skilled,0.000104,none,yes,bad
'no checking',0.00502,'existing paid','new car',0.999766,'no known savings',>=7,0.001673,'male single',none,0.001255,car,0.020916,none,own,0.000418,skilled,0.000418,yes,yes,good
<0,0.010826,'no credits/all paid',repairs,0.99961,<100,4<=X<7,0.003609,'male single',none,0.002707,'real estate',0.025261,none,own,0.001804,skilled,0.000902,none,yes,bad
'no checking',0.004844,'existing paid',retraining,0.999554,'no known savings',unemployed,0.00323,'male single',none,0.00323,'life insurance',0.029066,none,own,0.000807,'high qualif/self emp/mgmt',0.001615,yes,yes,good
0<=X<200,0.019619,'existing paid',radio/tv,0.998374,<100,1<=X<4,0.008719,'male single',none,0.00654,'real estate',0.052317,none,own,0.00218,skilled,0.00218,none,yes,good
'no checking',0.015385,'all paid',business,0.999361,<100,4<=X<7,0.002564,'male single',none,0.002564,car,0.032051,bank,own,0.000641,skilled,0.000641,yes,yes,good
<0,0.013747,'existing paid','new car',0.998959,<100,1<=X<4,0.00611,'male single',none,0.004582,car,0.042769,none,own,0.001527,'unskilled resident',0.001527,none,yes,bad
<0,0.005328,'existing paid',furniture/equipment,0.999969,<100,4<=X<7,0.000254,'male single',guarantor,0.000507,'life insurance',0.005709,none,'for free',0.000127,skilled,0.000254,none,yes,good
>=200,0.007842,'existing paid',furniture/equipment,0.9998,<100,<1,0.003137,'female div/dep/mar',none,0.001568,'life insurance',0.018036,none,own,0.000784,skilled,0.000784,none,yes,good
0<=X<200,0.005067,'critical/other existing credit',furniture/equipment,0.999973,<100,<1,0.000422,'female div/dep/mar',none,0.000845,car,0.005279,bank,own,0.000211,'unskilled resident',0.000211,none,yes,bad
<0,0.007856,'critical/other existing credit','used car',0.999027,<100,>=7,0.002619,'male single',none,0.002619,'no known property',0.043208,none,'for free',0.001309,'high qualif/self emp/mgmt',0.000655,none,yes,good
<0,0.013373,'existing paid',education,0.998511,<100,<1,0.008915,'female div/dep/mar',none,0.008915,'life insurance',0.051263,none,own,0.002229,skilled,0.002229,none,yes,bad
>=200,0.009942,'critical/other existing credit',radio/tv,0.999827,<100,>=7,0.001326,'male single',none,0.001326,'life insurance',0.015576,none,own,0.000331,skilled,0.000331,none,yes,good
'no checking',0.003511,'existing paid','used car',0.99993,100<=X<500,1<=X<4,0.000351,'male single','co applicant',0.000702,'real estate',0.011235,none,own,0.000351,skilled,0.000702,none,yes,good
'no checking',0.015391,'critical/other existing credit',radio/tv,0.999563,'no known savings',1<=X<4,0.00342,'male single',none,0.002565,'life insurance',0.024797,none,own,0.00171,skilled,0.000855,yes,yes,good
>=200,0.006635,'critical/other existing credit',furniture/equipment,0.999961,'no known savings',>=7,0.001106,'male single','co applicant',0.001106,'no known property',0.005529,none,rent,0.000553,skilled,0.000276,none,yes,good
<0,0.004117,'delayed previously',furniture/equipment,0.999963,<100,>=7,0.000274,'female div/dep/mar',none,0.001098,'life insurance',0.007411,none,own,0.000549,'unskilled resident',0.000274,none,yes,good
'no checking',0.00474,'critical/other existing credit','new car',0.999979,500<=X<1000,1<=X<4,0.000197,'male single',none,0.000197,'no known property',0.004345,bank,'for free',0.000099,skilled,0.000099,none,yes,bad
0<=X<200,0.007507,'existing paid',radio/tv,0.999952,<100,<1,0.000834,'female div/dep/mar',none,0.000209,'no known property',0.006256,none,own,0.000209,'high qualif/self emp/mgmt',0.000209,yes,yes,good
<0,0.018434,'existing paid','new car',0.999549,<100,<1,0.001024,'female div/dep/mar',none,0.002048,car,0.023555,none,own,0.001024,'unskilled resident',0.001024,none,yes,bad
<0,0.008776,'delayed previously',business,0.999919,<100,>=7,0.000439,'male single',none,0.000585,'no known property',0.009215,none,own,0.000293,skilled,0.000146,yes,yes,bad
<0,0.003287,'existing paid','new car',0.999958,>=1000,1<=X<4,0.000274,'male single',none,0.000822,'life insurance',0.00849,none,own,0.000274,skilled,0.000548,none,yes,good
<0,0.004661,'existing paid','used car',0.999982,<100,4<=X<7,0.000388,'male single',none,0.000388,'no known property',0.003787,stores,'for free',0.000291,skilled,0.000194,yes,yes,bad
'no checking',0.010748,'existing paid',furniture/equipment,0.999906,<100,1<=X<4,0.001194,'female div/dep/mar',none,0.000597,car,0.00836,none,own,0.000299,'high qualif/self emp/mgmt',0.000299,yes,yes,bad
0<=X<200,0.007919,'critical/other existing credit',education,0.999559,>=1000,>=7,0.00352,'male single',none,0.00264,'no known property',0.028157,none,'for free',0.00176,skilled,0.00176,none,yes,bad
<0,0.008206,'existing paid','used car',0.999733,<100,1<=X<4,0.001026,'male single',guarantor,0.001368,'no known property',0.02154,bank,own,0.000342,skilled,0.000684,yes,yes,good
<0,0.004538,'critical/other existing credit','new car',0.999954,<100,>=7,0.000252,'female div/dep/mar',none,0.001009,'real estate',0.00832,bank,rent,0.000756,skilled,0.000252,yes,yes,bad
<0,0.006094,'critical/other existing credit','new car',0.999846,<100,>=7,0.000762,'male single',guarantor,0.001524,'life insurance',0.016378,bank,rent,0.000381,skilled,0.000381,yes,yes,bad
0<=X<200,0.004344,'existing paid',furniture/equipment,0.999949,'no known savings',>=7,0.000362,'female div/dep/mar',none,0.000724,'life insurance',0.009051,bank,own,0.000362,skilled,0.000362,yes,yes,bad
0<=X<200,0.018421,'no credits/all paid',business,0.999339,<100,>=7,0.002047,'male single',none,0.002047,'no known property',0.031213,none,'for free',0.000512,'high qualif/self emp/mgmt',0.000512,yes,yes,bad
'no checking',0.019071,'existing paid',business,0.999615,<100,4<=X<7,0.003178,'male single',none,0.000795,'real estate',0.019865,none,own,0.000795,skilled,0.000795,yes,yes,good
'no checking',0.01188,'existing paid','domestic appliance',0.999513,500<=X<1000,4<=X<7,0.003168,'male single',none,0.002376,'life insurance',0.028512,none,own,0.001584,skilled,0.000792,yes,yes,good
'no checking',0.012356,'existing paid',radio/tv,0.999165,500<=X<1000,>=7,0.003295,'male single',none,0.002471,'life insurance',0.038715,stores,own,0.000824,skilled,0.000824,yes,yes,good
<0,0.008534,'existing paid','used car',0.999919,'no known savings',>=7,0.000711,'female div/dep/mar',none,0.001422,'real estate',0.009245,none,rent,0.000356,skilled,0.000356,none,yes,good
<0,0.009093,'existing paid',furniture/equipment,0.999929,<100,unemployed,0.00101,'male single',none,0.000758,'life insurance',0.007577,none,own,0.000253,'high qualif/self emp/mgmt',0.000253,yes,yes,good
0<=X<200,0.005071,'critical/other existing credit','new car',0.99987,500<=X<1000,4<=X<7,0.001268,'male div/sep',none,0.001268,car,0.015214,none,own,0.000423,'high qualif/self emp/mgmt',0.000423,yes,yes,good
<0,0.008222,'existing paid',business,0.999954,<100,>=7,0.000548,'male single','co applicant',0.000548,'no known property',0.004933,none,rent,0.000137,skilled,0.000137,none,yes,bad
<0,0.0186,'existing paid',business,0.999429,<100,1<=X<4,0.00496,'female div/dep/mar',none,0.00496,'life insurance',0.02728,none,own,0.00124,'unskilled resident',0.00124,none,yes,good
<0,0.009276,'all paid',radio/tv,0.999781,<100,<1,0.001546,'male single','co applicant',0.002061,'no known property',0.018553,bank,'for free',0.000515,'high qualif/self emp/mgmt',0.000515,yes,yes,good
<0,0.002817,'critical/other existing credit','new car',0.999953,<100,1<=X<4,0.000512,'male single',none,0.000512,'real estate',0.009219,none,rent,0.000512,skilled,0.000512,none,yes,good
<0,0.005839,'no credits/all paid',furniture/equipment,0.999966,<100,>=7,0.00073,'male single',none,0.000973,'no known property',0.005596,bank,rent,0.000487,skilled,0.000487,none,yes,bad
<0,0.024381,'existing paid',radio/tv,0.99962,<100,1<=X<4,0.002167,'male single',none,0.002167,'no known property',0.012461,none,'for free',0.000542,skilled,0.000542,yes,yes,bad
'no checking',0.012385,'existing paid',radio/tv,0.99976,<100,<1,0.002064,'female div/dep/mar',none,0.000688,'real estate',0.01789,none,own,0.000688,skilled,0.000688,none,yes,good
